Time,delta,theta,lowAlpha,highAlpha, lowbeta ,highbeta,lowGamma,highGamma,Attention,Meditation
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
